Name,Handedness,Height,Weight,Batting Average,Home Runs,Weight Bin,
Don Buford,B,67,160,0.264,93,Light,
Rodney Scott,B,72,160,0.236,3,Light,
Joe Morgan,L,67,160,0.271,268,Light,
Buddy Biancalana,B,71,160,0.205,6,Light,
Brock Davis,L,70,160,0.26,1,Light,
Bill Voss,L,74,160,0.227,19,Light,
Dave Rosello,R,71,160,0.236,10,Light,
Doug Griffin,R,72,160,0.245,7,Light,
Nate Oliver,R,70,160,0.226,2,Light,
Dave Nelson,R,70,160,0.244,20,Light,
Bryan Little,B,70,160,0.245,3,Light,
Bobby Murcer,L,71,160,0.277,252,Light,
Dick Tracewski,R,71,160,0.213,8,Light,
Al Weis,B,72,160,0.219,7,Light,
Manny Mota,R,70,160,0.304,31,Light,
Alan Wiggins,B,74,160,0.259,5,Light,
Roy White,B,70,160,0.271,160,Light,
Jimmy Wynn,R,70,160,0.25,291,Light,
Rey Quinones,R,71,160,0.243,29,Light,
Bert Campaneris,R,70,160,0.259,79,Light,
Marty Perez,R,71,160,0.246,22,Light,
Jack Perconte,L,70,160,0.27,2,Light,
Wayne Tolleson,B,69,160,0.241,9,Light,
Ed Romero,R,71,160,0.247,8,Light,
Larry Milbourne,B,72,161,0.254,11,Light,
Luis Alvarado,R,69,162,0.214,5,Light,
Julio Gonzalez,R,71,162,0.235,4,Light,
Don Wert,R,70,162,0.242,77,Light,
Jake Wood,R,73,163,0.25,35,Light,
Tony Scott,B,72,164,0.249,17,Light,
Jerry White,B,70,164,0.253,21,Light,
Curt Motton,R,68,164,0.213,25,Light,
Gene Locklear,L,70,165,0.274,9,Light,
Walt Williams,R,66,165,0.27,33,Light,
Tommy Dean,R,72,165,0.18,4,Light,
Frank White,R,71,165,0.255,160,Light,
Tom Brookens,R,70,165,0.246,71,Light,
Ray Oyler,R,71,165,0.175,15,Light,
Jack Brohamer,L,70,165,0.245,30,Light,
Brian Dubois,L,70,165,0,0,Light,
Jimmy Stewart,B,72,165,0.237,8,Light,
Craig Robinson,R,70,165,0.219,0,Light,
Rafael Landestoy,B,70,165,0.237,4,Light,
Cesar Geronimo,L,72,165,0.258,51,Light,
Mike Sadek,R,69,165,0.226,5,Light,
Jackie Hernandez,R,71,165,0.208,12,Light,
Coco Laboy,R,70,165,0.233,28,Light,
Amos Otis,R,71,165,0.277,193,Light,
Ted Sizemore,R,70,165,0.262,23,Light,
Doug Flynn,R,71,165,0.238,7,Light,
Mickey Rivers,L,70,165,0.295,61,Light,
Ken Landreaux,L,70,165,0.268,91,Light,
Roger Metzger,B,72,165,0.231,5,Light,
Ted Martinez,R,72,165,0.24,7,Light,
Fernando Gonzalez,R,70,165,0.235,17,Light,
Angel Moreno,L,69,165,0,0,Light,
Ron Theobald,R,68,165,0.248,2,Light,
Rafael Santana,R,73,165,0.246,13,Light,
Fred Stanley,R,70,165,0.216,10,Light,
Jim Dwyer,L,70,165,0.26,77,Light,
Brian Giles,R,73,165,0.228,10,Light,
Alex Trevino,R,70,165,0.249,23,Light,
Rudy Law,L,73,165,0.271,18,Light,
Jose Tartabull,L,71,165,0.261,2,Light,
Jerry Royster,R,72,165,0.249,40,Light,
Felix Torres,R,71,165,0.254,27,Light,
Jim Wright,R,73,165,0,0,Light,
Paul Schaal,R,71,165,0.244,57,Light,
Steve Blass,R,72,165,0.172,1,Light,
Johnnie LeMaster,R,74,165,0.222,22,Light,
Rick Burleson,R,70,165,0.273,50,Light,
Rick Auerbach,R,72,165,0.22,9,Light,
Billy Grabarkewitz,R,70,165,0.236,28,Light,
Tommy Harper,R,69,165,0.257,146,Light,
Damaso Garcia,R,73,165,0.283,36,Light,
Tommy Helms,R,70,165,0.269,34,Light,
Julio Cruz,B,69,165,0.237,23,Light,
Rudy Meoli,L,69,165,0.212,2,Light,
Winston Llenas,R,70,165,0.23,3,Light,
Reid Nichols,R,71,165,0.266,22,Light,
Mark Wagner,R,72,165,0.243,3,Light,
Sixto Lezcano,R,70,165,0.271,148,Light,
Vic Harris,B,71,165,0.217,13,Light,
Mike Fischlin,R,73,165,0.22,3,Light,
Cecil Cooper,L,74,165,0.298,241,Light,
Jerry Terrell,R,71,165,0.253,4,Light,
Dave Rader,L,71,165,0.257,30,Light,
Luis Melendez,R,72,165,0.248,9,Light,
Jerry Remy,L,69,165,0.275,7,Light,
Larvell Blanks,R,68,167,0.253,20,Light,
Ron Brand,R,67,167,0.239,3,Light,
Paul Blair,R,72,168,0.25,134,Light,
Ron Woods,R,70,168,0.233,26,Light,
Art Shamsky,L,73,168,0.253,68,Light,
Joe Strain,R,70,169,0.25,1,Light,
Len Randle,B,70,169,0.257,27,Light,
Chico Ruiz,B,72,169,0.24,2,Light,
Tom Brown,R,73,170,0,0,Medium,
Juan Bonilla,R,69,170,0.256,7,Medium,
Brad Wellman,R,72,170,0.231,6,Medium,
Gene Clines,R,69,170,0.277,5,Medium,
Ed Brinkman,R,72,170,0.224,60,Medium,
Mickey Lolich,B,73,170,0.11,0,Medium,
Marty Martinez,B,72,170,0.243,0,Medium,
Otto Velez,R,72,170,0.251,78,Medium,
Lou Brock,L,71,170,0.293,149,Medium,
Ken Boswell,L,72,170,0.248,31,Medium,
Mike Ramsey,B,73,170,0.24,2,Medium,
Von Joshua,L,70,170,0.273,30,Medium,
Rich Morales,R,71,170,0.195,6,Medium,
Mike Phillips,L,72,170,0.24,11,Medium,
Mike Richardt,R,72,170,0.226,4,Medium,
Al Bumbry,L,68,170,0.281,54,Medium,
Chuck Hiller,L,71,170,0.243,20,Medium,
Jorge Orta,L,70,170,0.278,130,Medium,
Dave Cash,R,71,170,0.283,21,Medium,
Bucky Dent,R,69,170,0.247,40,Medium,
Tony Gonzalez,L,69,170,0.286,103,Medium,
Billy Cowan,R,72,170,0.236,40,Medium,
Vern Fuller,R,73,170,0.232,14,Medium,
Horace Clarke,B,69,170,0.256,27,Medium,
Jose Arcia,R,75,170,0.215,1,Medium,
Andres Thomas,R,73,170,0.234,42,Medium,
Jose Cruz,L,72,170,0.284,165,Medium,
Mike Tyson,R,69,170,0.241,27,Medium,
Rod Carew,L,72,170,0.328,92,Medium,
Israel Sanchez,L,69,170,0,0,Medium,
Mario Mendoza,R,71,170,0.215,4,Medium,
Mark Belanger,R,73,170,0.228,20,Medium,
Mickey Klutts,R,71,170,0.241,14,Medium,
Joe Horlen,R,72,170,0.134,0,Medium,
Bobby Knoop,R,73,170,0.236,56,Medium,
Rich Chiles,L,71,170,0.254,6,Medium,
Jim Pankovits,R,70,170,0.25,9,Medium,
Bobby Klaus,R,70,170,0.208,6,Medium,
Johnny Ray,B,71,170,0.29,53,Medium,
Enos Cabell,R,76,170,0.277,60,Medium,
Rufino Linares,R,72,170,0.27,11,Medium,
Bobby Mitchell,L,70,170,0.243,3,Medium,
Hector Cruz,R,71,170,0.225,39,Medium,
Jim Anderson,R,72,170,0.218,13,Medium,
Lenny Faedo,R,72,170,0.251,5,Medium,
Don Kessinger,B,73,170,0.252,14,Medium,
Stan Papi,R,72,170,0.218,7,Medium,
Roberto Pena,R,68,170,0.245,13,Medium,
Barbaro Garbey,R,70,170,0.267,11,Medium,
Jerry Hairston,B,70,170,0.258,30,Medium,
Tony Arnold,R,71,170,0,0,Medium,
Ike Brookens,R,77,170,0,0,Medium,
Tim Johnson,L,73,170,0.223,0,Medium,
George Smith,R,70,170,0.205,9,Medium,
Bobby Tolan,L,71,170,0.265,86,Medium,
Randy Hundley,R,71,170,0.236,82,Medium,
Luis Sanchez,R,74,170,0,0,Medium,
Lou Johnson,R,71,170,0.258,48,Medium,
Bill Stein,R,70,170,0.267,44,Medium,
Rich Coggins,L,68,170,0.265,12,Medium,
Charley Smith,R,73,170,0.239,69,Medium,
De Wayne Buice,R,72,170,0,0,Medium,
Ty Cline,L,72,170,0.238,6,Medium,
Buddy Bradford,R,71,170,0.226,52,Medium,
Eddie Leon,R,72,170,0.236,24,Medium,
Dave Edwards,R,72,170,0.237,14,Medium,
Joe Lefebvre,L,70,170,0.258,31,Medium,
Joaquin Andujar,B,72,170,0.127,5,Medium,
Carl Warwick,R,70,170,0.248,31,Medium,
Rick Peters,B,69,170,0.277,2,Medium,
Charlie Mitchell,R,75,170,0,0,Medium,
Sandy Valdespino,L,68,170,0.23,7,Medium,
Merritt Ranew,L,71,170,0.247,8,Medium,
Bob Bailor,R,71,170,0.264,9,Medium,
Bill Castro,R,71,170,0,0,Medium,
Frank Quilici,R,73,170,0.214,5,Medium,
Ruppert Jones,L,70,170,0.25,147,Medium,
David Green,R,75,170,0.268,31,Medium,
Paul Wilmet,R,71,170,0,0,Medium,
Danny Cater,R,72,170,0.276,66,Medium,
Davey Johnson,R,73,170,0.261,136,Medium,
Garth Iorg,R,71,170,0.258,20,Medium,
Tim Blackwell,B,71,170,0.228,6,Medium,
Davey Lopes,R,69,170,0.263,155,Medium,
Willie Montanez,L,72,170,0.275,139,Medium,
Tom Lawless,R,71,170,0.207,2,Medium,
Jerry Kenney,L,73,170,0.237,7,Medium,
Jimmie Schaffer,R,69,170,0.223,11,Medium,
Wilbur Howard,B,74,170,0.25,6,Medium,
Don Money,R,73,170,0.261,176,Medium,
Rowland Office,L,72,170,0.259,32,Medium,
Alan Bannister,R,71,170,0.27,19,Medium,
Ed Charles,R,70,170,0.263,86,Medium,
Todd Fischer,R,70,170,0,0,Medium,
Bump Wills,B,69,172,0.266,36,Medium,
Oswaldo Peraza,R,76,172,0,0,Medium,
Felix Millan,R,71,172,0.279,22,Medium,
Eddie Milner,L,71,173,0.253,42,Medium,
Bernie Carbo,L,71,173,0.264,96,Medium,
Wallace Johnson,B,72,173,0.255,5,Medium,
Luis Aguayo,R,69,173,0.236,37,Medium,
Tom Matchick,L,73,173,0.215,4,Medium,
Mario Soto,R,72,174,0.132,1,Medium,
Bob Burda,L,71,174,0.224,13,Medium,
Joe Nolan,L,71,175,0.263,27,Medium,
Denny Doyle,L,69,175,0.25,16,Medium,
Jerry Kutzler,L,73,175,0,0,Medium,
Lee Lacy,R,73,175,0.286,91,Medium,
Ivan DeJesus,R,71,175,0.254,21,Medium,
Wayne Garrett,L,71,175,0.239,61,Medium,
Jack Heidemann,R,72,175,0.211,9,Medium,
Hector Torres,R,72,175,0.216,18,Medium,
Steve Lombardozzi,R,72,175,0.233,20,Medium,
Julian Javier,R,73,175,0.257,78,Medium,
Rusty Torres,B,70,175,0.212,35,Medium,
Jose Roman,R,72,175,0,0,Medium,
Floyd Robinson,L,69,175,0.283,67,Medium,
Wayne Comer,R,70,175,0.229,16,Medium,
Dave Collins,B,71,175,0.272,32,Medium,
Rico Petrocelli,R,72,175,0.251,210,Medium,
Jeff Stone,L,72,175,0.277,11,Medium,
Tim Flannery,L,71,175,0.255,9,Medium,
Tony Oliva,L,73,175,0.304,220,Medium,
Barry Raziano,B,70,175,0,0,Medium,
Pat Underwood,L,72,175,0,0,Medium,
Jay Johnstone,L,73,175,0.267,102,Medium,
Danny Fife,R,75,175,0,0,Medium,
Ken Berry,R,72,175,0.255,58,Medium,
Al Downing,R,71,175,0.127,2,Medium,
Garry Hancock,L,72,175,0.247,12,Medium,
Tony Perez,R,74,175,0.279,379,Medium,
Brian Allard,R,73,175,0,0,Medium,
Steve Rogers,R,74,175,0.138,0,Medium,
Mike Hershberger,R,70,175,0.252,26,Medium,
Ed Crosby,L,74,175,0.22,0,Medium,
Mike de la Hoz,R,71,175,0.251,25,Medium,
Larry Stahl,L,72,175,0.232,36,Medium,
Toby Harrah,R,72,175,0.264,195,Medium,
U L Washington,B,71,175,0.251,27,Medium,
Len Whitehouse,L,71,175,0,0,Medium,
Danny Ainge,R,76,175,0.22,2,Medium,
Adolfo Phillips,R,73,175,0.247,59,Medium,
Marv Breeding,R,72,175,0.25,7,Medium,
Ted Kubiak,B,72,175,0.231,13,Medium,
Jim Morrison,R,71,175,0.26,112,Medium,
Jim Norris,L,70,175,0.264,7,Medium,
Craig Reynolds,L,73,175,0.256,42,Medium,
Bob Randall,R,74,175,0.257,1,Medium,
Lafayette Currence,B,71,175,0,0,Medium,
John Pawlowski,R,74,175,0,0,Medium,
Jack Hardy,R,74,175,0,0,Medium,
Dave Chalk,R,70,175,0.252,15,Medium,
Joe Simpson,L,75,175,0.242,9,Medium,
Bernie Allen,L,72,175,0.239,73,Medium,
Ken Holtzman,R,74,175,0.163,2,Medium,
Mike Davis,L,74,175,0.259,91,Medium,
Pedro Garcia,R,70,175,0.22,37,Medium,
Carl Yastrzemski,L,71,175,0.285,452,Medium,
Craig Eaton,R,71,175,0,0,Medium,
Roy Branch,R,72,175,0,0,Medium,
Bob Veselic,R,72,175,0,0,Medium,
John Lowenstein,L,72,175,0.253,116,Medium,
Tim Corcoran,L,71,175,0.27,12,Medium,
Tom Veryzer,R,73,175,0.241,14,Medium,
Garry Maddox,R,75,175,0.285,117,Medium,
Marvell Wynne,L,71,175,0.247,40,Medium,
Mike Warren,R,73,175,0,0,Medium,
Gene Richards,L,72,175,0.29,26,Medium,
Bill Mooneyham,R,72,175,0,0,Medium,
Mike Fiore,L,72,175,0.227,13,Medium,
Bob Johnson,R,70,175,0.272,44,Medium,
Duane Kuiper,L,72,175,0.271,1,Medium,
Clint Zavaras,R,73,175,0,0,Medium,
Paul Popovich,B,72,175,0.233,14,Medium,
Thad Bosley,L,75,175,0.272,20,Medium,
Jimmie Hall,L,72,175,0.254,121,Medium,
Hosken Powell,L,73,175,0.259,17,Medium,
Joe Lis,R,72,175,0.233,32,Medium,
Dave Rajsich,L,77,175,0,0,Medium,
Jim Wohlford,R,71,175,0.26,21,Medium,
Tito Landrum,R,71,175,0.249,13,Medium,
Biff Pocoroba,B,70,175,0.257,21,Medium,
Johnny Grubb,L,75,175,0.278,99,Medium,
Bob Meacham,B,73,175,0.236,8,Medium,
Lynn Jones,R,69,175,0.252,7,Medium,
Ken Suarez,R,69,175,0.227,5,Medium,
Bill Paschall,R,72,175,0,0,Medium,
John Bohnet,B,72,175,0,0,Medium,
Byron McLaughlin,R,73,175,0,0,Medium,
Luis Quintana,L,74,175,0,0,Medium,
Jeff Sellers,R,73,175,0,0,Medium,
Cesar Cedeno,R,74,175,0.285,199,Medium,
John Castino,R,71,175,0.278,41,Medium,
John Flinn,R,72,175,0,0,Medium,
Todd Cruz,R,72,175,0.22,34,Medium,
Bob Heise,R,72,175,0.247,1,Medium,
Don Gordon,R,73,175,0,0,Medium,
Ron Clark,R,70,175,0.189,5,Medium,
Jim Campbell,L,71,175,0,0,Medium,
Curt Kaufman,R,74,175,0,0,Medium,
Bill Sample,R,69,175,0.272,46,Medium,
Juan Nieves,L,75,175,0,0,Medium,
Glenn Hoffman,R,73,175,0.242,23,Medium,
Luis Pujols,R,74,175,0.193,6,Medium,
Bruce Benedict,R,73,175,0.242,18,Medium,
Al Luplow,L,70,175,0.235,33,Medium,
Bob Barton,R,72,175,0.226,9,Medium,
Ken Hubbs,R,74,175,0.247,14,Medium,
Jackie Gutierrez,R,71,175,0.237,4,Medium,
Junior Kennedy,R,71,175,0.248,4,Medium,
Chris Speier,R,73,175,0.246,112,Medium,
Ellie Hendricks,L,73,175,0.22,62,Medium,
Tito Fuentes,B,71,175,0.268,45,Medium,
Bill Russell,R,72,175,0.263,46,Medium,
Bubba Morton,R,70,175,0.267,14,Medium,
Ron Davis,R,72,175,0.233,10,Medium,
Ron Gardenhire,R,72,175,0.232,4,Medium,
Tom Poquette,L,70,175,0.268,10,Medium,
Eric Hetzel,R,75,175,0,0,Medium,
Brian Asselstine,L,73,175,0.254,12,Medium,
Rick Miller,L,72,175,0.269,28,Medium,
Phil Garner,R,70,175,0.26,109,Medium,
Pedro Gonzalez,R,72,176,0.244,8,Medium,
Dick Simpson,R,76,176,0.207,15,Medium,
Dick McAuliffe,L,71,176,0.247,197,Medium,
Mick Kelleher,R,69,176,0.213,0,Medium,
Tony Mack,R,70,177,0,0,Medium,
Tony Chevez,R,71,177,0,0,Medium,
Larry Cox,R,70,178,0.221,12,Medium,
Angel Mangual,R,70,178,0.245,22,Medium,
Joe Nossek,R,72,178,0.228,3,Medium,
Mel Stottlemyre,R,73,178,0.16,7,Medium,
Randy Jones,R,72,178,0.132,0,Medium,
Luis Encarnacion,R,70,178,0,0,Medium,
Dave Stapleton,R,73,178,0.271,41,Medium,
Bruce Taylor,R,72,178,0,0,Medium,
Ollie Brown,R,74,178,0.265,102,Medium,
Bill Sharp,L,70,178,0.255,9,Medium,
Tim Foli,R,72,179,0.251,25,Medium,
Rod Kanehl,R,73,180,0.241,6,Medium,
Rick Wise,R,73,180,0.195,15,Medium,
Bobby Cox,R,71,180,0.225,9,Medium,
Tony Muser,L,74,180,0.259,7,Medium,
Ted Ford,R,70,180,0.219,17,Medium,
Jim Lyttle,L,72,180,0.248,9,Medium,
Kurt Bevacqua,R,72,180,0.236,27,Medium,
Ray Chadwick,B,74,180,0,0,Medium,
Elliott Maddox,R,71,180,0.261,18,Medium,
Omar Moreno,L,74,180,0.252,37,Medium,
Gary Thomasson,L,73,180,0.249,61,Medium,
Mike Trujillo,R,73,180,0,0,Medium,
Steve Jeltz,B,71,180,0.21,5,Medium,
Ed Spiezio,R,71,180,0.238,39,Medium,
Zach Crouch,L,75,180,0,0,Medium,
Johnny Jeter,R,73,180,0.244,18,Medium,
Angel Salazar,R,72,180,0.212,2,Medium,
Ozzie Virgil,R,73,180,0.243,98,Medium,
Jake Gibbs,L,72,180,0.233,25,Medium,
Leon Hooten,R,71,180,0,0,Medium,
Billy Conigliaro,R,72,180,0.256,40,Medium,
Allan Ramirez,R,70,180,0,0,Medium,
Hal McRae,R,71,180,0.29,191,Medium,
Jim Lefebvre,B,72,180,0.251,74,Medium,
Fernando Arroyo,R,74,180,0,0,Medium,
Steve Whitaker,L,72,180,0.23,24,Medium,
Ken Henderson,B,74,180,0.257,122,Medium,
Paul Casanova,R,76,180,0.225,50,Medium,
Keith Creel,R,74,180,0,0,Medium,
Terry Crowley,L,72,180,0.25,42,Medium,
Chuck Hinton,R,73,180,0.264,113,Medium,
George Foster,R,73,180,0.274,348,Medium,
Jim French,L,68,180,0.196,5,Medium,
Mike Smith,R,75,180,0,0,Medium,
Paul Householder,B,72,180,0.236,29,Medium,
Aurelio Rodriguez,R,70,180,0.237,124,Medium,
Dick Phillips,L,72,180,0.229,12,Medium,
Pat Corrales,R,72,180,0.216,4,Medium,
Bob Davis,R,72,180,0.197,6,Medium,
Rick Manning,L,73,180,0.257,56,Medium,
Terry Taylor,R,73,180,0,0,Medium,
Graig Nettles,L,72,180,0.248,390,Medium,
Ed Goodson,L,75,180,0.26,30,Medium,
Tom Hutton,L,71,180,0.248,22,Medium,
Mike Vail,R,73,180,0.279,34,Medium,
Ken Reitz,R,72,180,0.26,68,Medium,
Dan Briggs,L,72,180,0.195,12,Medium,
Barry Evans,R,73,180,0.251,2,Medium,
Mickey Brantley,R,70,180,0.259,32,Medium,
Al Gallagher,R,72,180,0.263,11,Medium,
Woody Woodward,R,74,180,0.236,1,Medium,
Richie Scheinblum,B,73,180,0.263,13,Medium,
Rob Wilfong,L,73,180,0.248,39,Medium,
Dewey Robinson,R,72,180,0,0,Medium,
Steve Dillard,R,73,180,0.243,13,Medium,
Ken Walters,R,73,180,0.231,11,Medium,
Dalton Jones,L,73,180,0.235,41,Medium,
Jose Cecena,R,71,180,0,0,Medium,
Bob Stinson,B,71,180,0.25,33,Medium,
Craig Mitchell,R,75,180,0,0,Medium,
Keith Hernandez,L,72,180,0.296,162,Medium,
Dick Green,R,70,180,0.24,80,Medium,
Dane Iorg,L,72,180,0.276,14,Medium,
Buddy Bell,R,73,180,0.279,201,Medium,
Joel Youngblood,R,72,180,0.265,80,Medium,
Phil Gagliano,R,73,180,0.238,14,Medium,
Jerry McNertney,R,72,180,0.237,27,Medium,
Kiko Garcia,R,71,180,0.239,12,Medium,
John Caneira,R,75,180,0,0,Medium,
Glenn Adams,L,73,180,0.28,34,Medium,
John Stephenson,L,71,180,0.216,12,Medium,
Doug Clemens,L,72,180,0.229,12,Medium,
Orlando Mercado,R,72,180,0.199,7,Medium,
Steve Braun,L,70,180,0.271,52,Medium,
Bobby Grich,R,74,180,0.266,224,Medium,
Mack Jones,L,73,180,0.252,133,Medium,
Dan Meyer,L,71,180,0.253,86,Medium,
Jim Holt,L,72,180,0.265,19,Medium,
Wayne Krenchicki,L,73,180,0.266,15,Medium,
Tom Tresh,B,73,180,0.245,153,Medium,
Ron Roenicke,B,72,180,0.238,17,Medium,
Ray Sadecki,L,71,180,0.191,5,Medium,
Ken Rudolph,R,73,180,0.213,6,Medium,
Phil Mankowski,L,72,180,0.264,8,Medium,
Mike Lum,L,72,180,0.247,90,Medium,
Dale Berra,R,72,180,0.236,49,Medium,
Terry Felton,R,73,180,0,0,Medium,
George Wright,B,71,180,0.245,42,Medium,
Hal Lanier,R,74,180,0.228,8,Medium,
Greg Pryor,R,72,180,0.25,14,Medium,
Bob Bailey,R,73,180,0.257,189,Medium,
Mark Souza,L,72,180,0,0,Medium,
Bill Madlock,R,71,180,0.305,163,Medium,
Mark Ciardi,R,72,180,0,0,Medium,
Dennis Burtt,R,72,180,0,0,Medium,
Terry Harmon,R,74,180,0.233,4,Medium,
Dave Campbell,R,73,180,0.213,20,Medium,
Jerry Turner,L,69,180,0.257,45,Medium,
Jeff Bettendorf,R,75,180,0,0,Medium,
Phil Linz,R,73,180,0.235,11,Medium,
Carlos Velazquez,R,71,180,0,0,Medium,
Don Hahn,R,73,180,0.236,7,Medium,
Joe Wallis,B,71,180,0.244,16,Medium,
Mike Cubbage,L,72,180,0.258,34,Medium,
Lyman Bostock,L,73,180,0.311,23,Medium,
Andres Mora,R,72,180,0.223,27,Medium,
Glen Cook,R,71,180,0,0,Medium,
Julio Gotay,R,72,180,0.26,6,Medium,
De Wayne Vaughn,R,71,180,0,0,Medium,
Mike Bacsik,R,74,180,0,0,Medium,
Phil Huffman,R,74,180,0,0,Medium,
Charlie Moore,R,71,180,0.261,36,Medium,
Tommy John,R,75,180,0.157,5,Medium,
Wes Parker,B,73,180,0.267,64,Medium,
Luis Tiant,R,72,180,0.164,5,Medium,
Broderick Perkins,L,70,180,0.271,8,Medium,
Bruce Ellingsen,L,72,180,0,0,Medium,
Reggie Smith,B,72,180,0.287,314,Medium,
Del Unser,L,73,180,0.258,87,Medium,
Lee Mazzilli,B,73,180,0.259,93,Medium,
Ed Stroud,L,71,180,0.237,14,Medium,
Harry Spilman,L,73,180,0.237,18,Medium,
Tom McCarthy,R,72,180,0,0,Medium,
Willie Davis,L,74,180,0.279,182,Medium,
Rod Gilbreath,R,74,180,0.248,14,Medium,
Rich Dauer,R,72,180,0.257,43,Medium,
Rick Leach,L,73,180,0.268,18,Medium,
Bill Almon,R,75,180,0.254,36,Medium,
Jerry Dybzinski,R,74,180,0.234,3,Medium,
Jesse Gonder,L,70,180,0.251,26,Medium,
Phil Niekro,R,73,180,0.169,7,Medium,
Larry Rothschild,L,74,180,0,0,Medium,
Frank Duffy,R,73,180,0.232,26,Medium,
Tom O'Malley,L,72,180,0.256,13,Medium,
Denny Lemaster,R,73,182,0.13,4,Medium,
Greg Thayer,R,71,182,0,0,Medium,
Tim Harkness,L,74,182,0.235,14,Medium,
Willie Smith,L,72,182,0.248,46,Medium,
Dave Marshall,L,73,182,0.246,16,Medium,
Tony Armas,R,71,182,0.252,251,Medium,
Lou Piniella,R,72,182,0.291,102,Medium,
Jay Pettibone,R,76,182,0,0,Medium,
Tommy McCraw,L,72,183,0.246,75,Medium,
Danny Thompson,R,72,183,0.248,15,Medium,
Dusty Baker,R,74,183,0.278,242,Medium,
Gene Michael,B,74,183,0.229,15,Medium,
Bob Coluccio,R,71,183,0.22,26,Medium,
Dave Johnson,R,73,183,0,0,Medium,
Jerry Augustine,L,72,183,0,0,Medium,
Darrell Brown,B,72,184,0.274,1,Medium,
Fritz Peterson,B,72,185,0.159,2,Medium,
John LaRose,L,73,185,0,0,Medium,
Frank Tepedino,L,71,185,0.241,6,Medium,
Jeff Barkley,B,75,185,0,0,Medium,
Jerry Buchek,R,71,185,0.22,22,Medium,
Gil Patterson,R,73,185,0,0,Medium,
Steve Eddy,R,74,185,0,0,Medium,
John Butcher,R,76,185,0,0,Medium,
Bo Diaz,R,71,185,0.255,87,Medium,
Syd O'Brien,R,73,185,0.23,24,Medium,
Tom Satriano,L,73,185,0.225,21,Medium,
Rich Rollins,R,70,185,0.269,77,Medium,
John Stearns,R,72,185,0.26,46,Medium,
Bruce Boisclair,L,74,185,0.263,10,Medium,
Joe Lovitto,B,72,185,0.216,4,Medium,
Randy Scarbery,B,73,185,0,0,Medium,
Willie Norwood,R,72,185,0.242,18,Medium,
Benny Ayala,R,73,185,0.251,38,Medium,
Dan Ford,R,73,185,0.27,121,Medium,
Jim Ray Hart,R,71,185,0.278,170,Medium,
Joel McKeon,L,72,185,0,0,Medium,
