"row_num","id","rank","workers","company","url","state_l","state_s","city","metro","growth_percentage","revenue2014","industry","yrs_on_list","revenue2013","growth_dollar"
2439,24908,"2440",8,"Stone Farm","stone-farm","Connecticut","CT","Newtown","Bridgeport-Stamford-Norwalk CT",157.1481,2895945,"Business Products & Services",1,1126177.87181784,1769767.12818216
2440,2121,"2441",496,"Total Hockey","total-hockey","Missouri","MO","St. Louis","St. Louis MO-IL",157.1191,47855000,"Retail",7,18611997.3195301,29243002.6804699
2441,21615,"2442",31,"Endurance IT Services","endurance-it-services","Virginia","VA","Virginia Beach","Virginia Beach-Norfolk-Newport News VA-NC",156.9019,4542490,"IT Services",3,1768180.77250499,2774309.22749501
2442,1121,"2443",19,"Rich Duncan Construction","rich-duncan-construction","Oregon","OR","Salem","Salem OR",156.7795,11967246,"Construction",4,4660514.56599923,7306731.43400077
2443,26168,"2444",70,"Midwest Automotive Designs","midwest-automotive-designs","Indiana","IN","Elkhart","Elkhart-Goshen IN",156.7367,20034529,"Business Products & Services",1,7803531.40006863,12230997.5999314
2444,22291,"2445",25,"Point It!","point-it","Washington","WA","Seattle","Seattle",156.7189,4064448,"Advertising & Marketing",3,1583228.97145477,2481219.02854523
2445,25210,"2446",30,"Sondhi Solutions","sondhi-solutions","Indiana","IN","Indianapolis","Indianapolis IN",156.7107,2622693,"IT Services",1,1021653.16833307,1601039.83166693
2446,4046,"2447",38,"Integrated Medical Solutions","integrated-medical-solutions","Texas","TX","Mansfield","Dallas",156.6593,38115309,"Government Services",6,14850546.6195848,23264762.3804152
2447,25419,"2448",15,"SpiderBoost Interactive Agency","spiderboost-interactive-agency","Florida","FL","Miami","Miami",156.5383,2408792,"Advertising & Marketing",1,938959.99154902,1469832.00845098
2448,24686,"2449",301,"Imprivata","imprivata","Massachusetts","MA","Lexington","Boston",156.3298,71111000,"Health",1,27741994.8831544,43369005.1168456
2449,22645,"2450",111,"ACE Tech","ace-tech","Michigan","MI","Auburn Hills","Detroit",156.2759,26205846,"Financial Services",3,10225638.0720934,15980207.9279066
2450,22340,"2451",65,"Modern Enterprise Solutions","modern-enterprise-solutions","Florida","FL","Tampa","Tampa",156.0946,15350176,"Telecommunications",3,5993947.54906976,9356228.45093024
2451,21708,"2452",130,"ClearBridge Technology Group","clearbridge-technology-group","Massachusetts","MA","Billerica","Boston",156.0344,15625224,"IT Services",3,6102783.06352584,9522440.93647416
2452,25695,"2453",232,"Onepath Systems","onepath-systems","Georgia","GA","Marietta","Atlanta",156.0142,69919350,"IT Services",1,27310731.2016287,42608618.7983713
2453,20334,"2454",185,"Source Logistics","source-logistics","California","CA","Montebello","Los Angeles",155.9628,31803711,"Logistics & Transportation",4,12425130.1360979,19378580.8639021
2454,1411,"2455",726,"TMOne","tmone","Iowa","IA","Iowa City","Iowa City IA",155.9462,20339310,"Business Products & Services",8,7946713.02015814,12392596.9798419
2455,19617,"2456",120,"VLink","vlink","Connecticut","CT","South Windsor","Hartford-West Hartford-East Hartford CT",155.6658,17164000,"IT Services",4,6713451.70140081,10450548.2985992
2456,3415,"2457",2690,"Guaranteed Rate","guaranteed-rate","Illinois","IL","Chicago","Chicago",155.6279,455079000,"Real Estate",7,178023995.033406,277055004.966594
2457,3011,"2458",1182,"Mindlance","mindlance","New Jersey","NJ","Hoboken","New York City",155.4528,96835753,"IT Services",7,37907493.2825164,58928259.7174836
2458,17806,"2459",82,"InTec","intec","Virginia","VA","Fairfax","Washington DC",155.4109,16599840,"Government Services",5,6499268.43372777,10100571.5662722
2459,24993,"2460",17,"SSD Fair Marketing","ssd-fair-marketing","Texas","TX","Houston","Houston",155.3831,2290669,"Advertising & Marketing",1,896954.027106727,1393714.97289327
2460,805,"2461",847,"Hargrove Engineers + Constructors","hargrove-engineers-constructors","Alabama","AL","Mobile","Mobile AL",155.3376,108938726,"Engineering",7,42664584.45603,66274141.54397
2461,26142,"2462",12,"MGN Logistics","mgn-logistics","Pennsylvania","PA","Easton","Philadelphia",155.2562,7770000,"Logistics & Transportation",1,3044000.49832286,4725999.50167714
2462,17274,"2463",1117,"Yodle","yodle","New York","NY","New York","New York City",155.221,161863000,"Advertising & Marketing",4,63420721.6490806,98442278.3509194
2463,1056,"2464",21,"GetWireless","getwireless","Minnesota","MN","Minnetonka","Minneapolis",155.202,36670296,"Telecommunications",8,14369125.6338116,22301170.3661884
2464,25424,"2465",14,"Hawaiian Moon","hawaiian-moon","Florida","FL","Clearwater","Tampa",155.0094,6367895,"Consumer Products & Services",1,2497121.67473042,3870773.32526958
2465,1459,"2466",117,"simpleview","simpleview","Arizona","AZ","Tucson","Tucson AZ",154.9837,20270826,"Travel & Hospitality",8,7949851.69640255,12320974.3035974
2466,19322,"2467",63,"Mobifusion","mobifusion","California","CA","Fremont","San Francisco",154.8512,7495955,"Media",4,2941306.53495059,4554648.46504941
2467,8587,"2468",40,"Corporate IT Solutions","corporate-it-solutions","Massachusetts","MA","Norwood","Boston",154.6365,14416686,"IT Services",5,5661673.01231363,8755012.98768637
2468,25822,"2469",29,"Core 3 Technologies","core-3-technologies","California","CA","Irvine","Los Angeles",154.6079,16081722,"Computer Hardware",1,6316269.84080227,9765452.15919773
2469,21949,"2470",25,"Daley & Associates","daley-associates","Massachusetts","MA","Boston","Boston",154.5967,11176005,"Human Resources",3,4389689.65426496,6786315.34573504
2470,153,"2471",25,"World Pac Paper","world-pac-paper","Ohio","OH","Cincinnati","Cincinnati",154.5143,71084762,"Business Products & Services",6,27929574.8804684,43155187.1195316
2471,1032,"2472",135,"Strategic Resources International","strategic-resources-international","New Jersey","NJ","Parlin","New York City",154.4856,14694000,"IT Services",4,5774000.57213453,8919999.42786547
2472,19691,"2473",128,"A2Z Field Services","a2z-field-services","Ohio","OH","Plain City","Columbus OH",154.413,42744535,"Real Estate",2,16801238.5373389,25943296.4626611
2473,6655,"2474",200,"SBS Group","sbs-group","New Jersey","NJ","Edison","New York City",154.4141,25360000,"IT Services",3,9968000.98736666,15391999.0126333
2474,26488,"2475",14,"Alpine Technical Services","alpine-technical-services","Utah","UT","Midvale","Salt Lake City",154.386,4170361,"Business Products & Services",1,1639383.06353337,2530977.93646663
2475,17924,"2476",48,"Wound Care Advantage","wound-care-advantage","California","CA","Sierra Madre","Los Angeles",154.3658,15792128,"Health",5,6208432.10840451,9583695.89159549
2476,23724,"2477",3,"Tribeca Merchandisers","tribeca-merchandisers","New York","NY","Lindenhurst","New York City",154.1244,4802887,"Consumer Products & Services",2,1889974.75252278,2912912.24747722
2477,25002,"2478",19,"Isos Technology","isos-technology","Arizona","AZ","Tempe","Phoenix",154.094,2807967,"IT Services",1,1105089.84863869,1702877.15136131
2478,25074,"2479",4,"Simple Real Estate Solutions","simple-real-estate-solutions","Virginia","VA","Virginia Beach","Virginia Beach-Norfolk-Newport News VA-NC",153.9092,4786917,"Real Estate",1,1885286.94509691,2901630.05490309
2479,3794,"2480",18,"Taradel","taradel","Virginia","VA","Glen Allen","Richmond VA",153.8672,6795205,"Advertising & Marketing",7,2676677.01853568,4118527.98146432
2480,23371,"2481",35,"capSpire","capspire","Arkansas","AR","Fayetteville","Fayetteville-Springdale-Rogers AR-MO",153.8401,6173387,"Energy",2,2431998.33280872,3741388.66719128
2481,26471,"2482",32,"Interior Environments","interior-environments","Michigan","MI","Novi","Detroit",153.7282,32689578,"Business Products & Services",1,12883699.1710027,19805878.8289973
2482,24262,"2483",15,"Peepers Reading Glasses","peepers-reading-glasses","Indiana","IN","Michigan City","Michigan City-La Porte IN",153.4871,3977197,"Retail",2,1568993.84623517,2408203.15376483
2483,25502,"2484",19,"Core Informatics","core-informatics","Connecticut","CT","Branford","New Haven-Milford CT",153.051,3096158,"Software",1,1223531.22493094,1872626.77506906
2484,23465,"2485",22,"Infinity Publishing Group","infinity-publishing-group","Missouri","MO","Webb City","Joplin MO",152.96,6128581,"Advertising & Marketing",2,2422747.07463631,3705833.92536369
2485,19999,"2486",12,"Commercial Bargains","commercial-bargains","Wisconsin","WI","West Allis","Milwaukee-Waukesha-West Allis WI",152.9086,4675609,"Retail",4,1848734.68122476,2826874.31877524
2486,21444,"2487",45,"The Business Backer","the-business-backer","Ohio","OH","Cincinnati","Cincinnati",152.7321,11205755,"Financial Services",3,4433847.14486209,6771907.85513791
2487,1937,"2488",125,"Net Health","net-health","Pennsylvania","PA","Pittsburgh","Pittsburgh PA",152.6707,18354000,"Health",5,7264000.13931176,11089999.8606882
2488,24998,"2489",15,"Application Experts","application-experts","Colorado","CO","Broomfield","Denver",152.6499,2100185,"Software",1,831262.945285155,1268922.05471484
2489,25337,"2490",12,"Syntelli Solutions","syntelli-solutions","North Carolina","NC","Charlotte","Charlotte",152.6541,2019866,"Business Products & Services",1,799459.023225825,1220406.97677417
2490,21656,"2491",33,"Security Card Services","security-card-services","Mississippi","MS","Oxford","Oxford MS",152.5824,12490080,"Financial Services",4,4944952.61744286,7545127.38255714
2491,1987,"2492",80,"The FruitGuys","the-fruitguys","California","CA","South San Francisco","San Francisco",152.4624,18482000,"Food & Beverage",7,7320694.09147659,11161305.9085234
2492,24208,"2493",140,"Alphaserve Technologies","alphaserve-technologies","New York","NY","New York","New York City",152.4147,24894872,"IT Services",2,9862687.07805053,15032184.9219495
2493,22662,"2494",18,"Response Marketing","response-marketing","Connecticut","CT","New Haven","New Haven-Milford CT",152.4078,3881052,"Advertising & Marketing",3,1537611.75367798,2343440.24632202
2494,23248,"2495",56,"Rockhedge Herb Farms","rockhedge-herb-farms","New York","NY","Pleasant Valley","Poughkeepsie-Newburgh-Middletown NY",152.39,5451336,"Food & Beverage",2,2159885.89088316,3291450.10911684
2495,21691,"2496",14,"Lenny & Larry's","lenny-larrys","California","CA","Northridge","Los Angeles",152.3459,7027511,"Food & Beverage",3,2784872.27254336,4242638.72745664
2496,23913,"2497",127,"ControlCase","controlcase","Virginia","VA","Reston","Washington DC",152.1954,7851777,"Software",2,3113370.42626471,4738406.57373529
2497,4136,"2498",100,"@Properties","@properties","Illinois","IL","Chicago","Chicago",152.1948,123882403,"Real Estate",8,49121711.8671757,74760691.1328243
2498,24165,"2499",17,"Altair Sign and Light","altair-sign-and-light","Georgia","GA","Doraville","Atlanta",151.8467,2517135,"Business Products & Services",2,999471.106828082,1517663.89317192
2499,26305,"2500",22,"Think Anew","think-anew","Mississippi","MS","Madison","Jackson MS",151.7349,3356867,"IT Services",1,1333492.89272167,2023374.10727833
2500,25817,"2501",1361,"Professional Employment Group","professional-employment-group","Missouri","MO","St. Louis","St. Louis MO-IL",151.7107,34283000,"Human Resources",1,13620001.0567687,20662998.9432313
2501,23436,"2502",10,"Advantage Capital Funds","advantage-capital-funds","California","CA","Studio City","Los Angeles",151.6862,3823893,"Financial Services",2,1519309.7595339,2304583.2404661
2502,25327,"2503",188,"Connect Wireless","connect-wireless","Idaho","ID","Boise","Boise City-Nampa ID",151.568,26220323,"Telecommunications",1,10422757.6639318,15797565.3360682
2503,23728,"2504",6,"Schox Patent Group","schox-patent-group","California","CA","San Francisco","San Francisco",151.5069,2844955,"Business Products & Services",2,1131163.79709662,1713791.20290338
2504,23911,"2505",15,"WorkCompEDI","workcompedi","New York","NY","Holbrook","New York City",151.3183,3908000,"Business Products & Services",2,1555000.17308728,2352999.82691272
2505,216,"2506",65,"BrightStar Care","brightstar-care","Illinois","IL","Gurnee","Chicago",151.2174,249062623,"Health",8,99142266.0213823,149920356.978618
2506,20944,"2507",45,"InkHouse","inkhouse","Massachusetts","MA","Waltham","Boston",150.9449,6736359,"Media",4,2684397.65063964,4051961.34936036
2507,23264,"2508",95,"Smiles Dental","smiles-dental","Washington","WA","Longview","Longview WA",150.9022,10407408,"Health",2,4147993.91954315,6259414.08045685
2508,21969,"2509",46,"Resource Environmental Solutions","resource-environmental-solutions","Louisiana","LA","Baton Rouge","Baton Rouge LA",150.6604,28465000,"Environmental Services",4,11356001.985156,17108998.014844
2509,23944,"2510",130,"Senior1Care","senior1care","Indiana","IN","South Bend","South Bend-Mishawaka IN-MI",150.6435,3311000,"Health",2,1320999.74665212,1990000.25334788
2510,17693,"2511",518,"Lasco Enterprises","lasco-enterprises","Texas","TX","Houston","Houston",150.5818,31292310,"Food & Beverage",5,12487862.2469788,18804447.7530212
2511,26394,"2512",9,"EngATech","engatech","Oklahoma","OK","Tulsa","Tulsa OK",150.5475,5073216,"Manufacturing",1,2024851.97417655,3048364.02582345
2512,25268,"2513",24,"Doejo","doejo","Illinois","IL","Chicago","Chicago",150.5285,2788502,"Advertising & Marketing",1,1113047.81691504,1675454.18308496
2513,25587,"2514",20,"Marine Connection","marine-connection","Florida","FL","West Palm Beach","Miami",150.3591,16755971,"Retail",1,6692774.89813632,10063196.1018637
2514,1040,"2515",35,"Growthink","growthink","California","CA","Los Angeles","Los Angeles",150.0806,9628170,"Financial Services",3,3850026.75137536,5778143.24862464
2515,19702,"2516",30,"Jackrabbit Technologies","jackrabbit-technologies","North Carolina","NC","Huntersville","Charlotte",150.0796,5314397,"Software",4,2125082.17383585,3189314.82616415
2516,26553,"2517",35,"Upward Brand Interactions","upward-brand-interactions","Ohio","OH","Springfield","Springfield OH",149.9864,3297226,"Advertising & Marketing",1,1318962.15154104,1978263.84845896
2517,2588,"2518",472,"Drilling Info","drilling-info","Texas","TX","Austin","Austin",149.9761,67856000,"Energy",7,27144995.0615279,40711004.9384721
2518,21742,"2519",21,"The Nagler Group","the-nagler-group","New Hampshire","NH","Bedford","Manchester-Nashua NH",149.9254,6447907,"Human Resources",3,2579932.65190333,3867974.34809667
2519,18952,"2520",110,"W.L. French Excavating","wl-french-excavating","Massachusetts","MA","North Billerica","Boston",149.889,42438933,"Construction",2,16983113.7024839,25455819.2975161
2520,25057,"2521",48,"MavenWire","mavenwire","Pennsylvania","PA","Wayne","Philadelphia",149.8923,11169583,"Logistics & Transportation",1,4469758.77207901,6699824.22792099
2521,25233,"2522",12,"Container Management","container-management","Texas","TX","Austin","Austin",149.852,4833995,"Construction",1,1934743.3680739,2899251.6319261
2522,26346,"2523",75,"CDM Media","cdm-media","Illinois","IL","Chicago","Chicago",149.7818,17369224,"Advertising & Marketing",1,6953758.84071618,10415465.1592838
2523,25053,"2524",21,"MassPay","masspay","Massachusetts","MA","Beverly","Boston",149.7645,2006663,"Business Products & Services",1,803422.023546181,1203240.97645382
2524,20681,"2525",985,"SterlingBackcheck","sterlingbackcheck","New York","NY","New York","New York City",149.744,246857000,"Human Resources",5,98844016.2726632,148012983.727337
2525,19365,"2526",15,"CallingMart","callingmart","Florida","FL","Miami","Miami",149.5896,23716000,"Telecommunications",4,9501998.48070593,14214001.5192941
2526,26465,"2527",12,"Tech Global","tech-global","Illinois","IL","Elgin","Chicago",149.5773,6077366,"Computer Hardware",1,2435063.60554425,3642302.39445575
2527,25015,"2528",6,"New York Nutrition Company","new-york-nutrition-company","Texas","TX","Bastrop","Austin",149.4245,2122296,"Consumer Products & Services",1,850877.119128233,1271418.88087177
2528,21785,"2529",150,"BioRx","biorx","Ohio","OH","Cincinnati","Cincinnati",149.2993,202451000,"Health",4,81208009.8098952,121242990.190105
2529,22135,"2530",31,"MidDel Consulting","middel-consulting","Minnesota","MN","Minneapolis","Minneapolis",149.1339,7888914,"Business Products & Services",3,3166535.74643997,4722378.25356003
2530,20467,"2531",35,"Russell Corrosion Consultants","russell-corrosion-consultants","Maryland","MD","Columbia","Baltimore",149.1017,5446836,"Engineering",4,2186591.25971441,3260244.74028559
2531,25611,"2532",18,"The SOHO Shop","the-soho-shop","Missouri","MO","St. Charles","St. Louis MO-IL",149.077,2605345,"Consumer Products & Services",1,1045999.83137745,1559345.16862255
2532,17425,"2533",325,"RBA","rba","Minnesota","MN","Wayzata","Minneapolis",148.9948,48424530,"IT Services",5,19448008.5527891,28976521.4472109
2533,24601,"2534",416,"Infinity Contact","infinity-contact","Iowa","IA","Cedar Rapids","Cedar Rapids IA",148.9931,20606001,"Business Products & Services",1,8275731.73714452,12330269.2628555
2534,21791,"2535",145,"Sunrise Detox","sunrise-detox","Florida","FL","Lake Worth","Miami",148.8859,34402015,"Health",3,13822404.1619071,20579610.8380929
2535,23869,"2536",43,"TekTegrity","tektegrity","California","CA","San Luis Obispo","San Luis Obispo-Paso Robles CA",148.8911,4871987,"IT Services",2,1957477.38669643,2914509.61330357
2536,1429,"2537",186,"Transportation Insight","transportation-insight","North Carolina","NC","Hickory","Hickory-Lenoir-Morganton NC",148.6809,689065000,"Logistics & Transportation",7,277088027.267072,411976972.732928
2537,25666,"2538",15,"One2One","one2one","Pennsylvania","PA","Lancaster","Lancaster PA",148.4211,2969966,"IT Services",1,1195536.9330544,1774429.0669456
2538,21989,"2539",50,"Lighthouse Technologies","lighthouse-technologies","Ohio","OH","Dayton","Dayton OH",148.2986,7796448,"IT Services",3,3139948.43305601,4656499.56694399
2539,23500,"2540",265,"Innovative Spa Management","innovative-spa-management","North Carolina","NC","Asheville","Asheville NC",148.2759,4479334,"Business Products & Services",2,1804175.91880646,2675158.08119354
2540,18124,"2541",52,"True Media","true-media","Missouri","MO","Columbia","Columbia MO",148.2519,44787561,"Advertising & Marketing",5,18041175.5156758,26746385.4843242
2541,424,"2542",111,"Bulk TV & Internet","bulk-tv-internet","North Carolina","NC","Raleigh","Raleigh-Cary NC",148.2478,44407502,"Business Products & Services",3,17888376.8557063,26519125.1442937
2542,3785,"2543",49,"Myriad Supply","myriad-supply","New York","NY","New York","New York City",148.1659,37918253,"Computer Hardware",6,15279396.9679154,22638856.0320846
2543,1760,"2544",445,"DealerSocket","dealersocket","California","CA","San Clemente","Los Angeles",148.1456,60818000,"Software",5,24508997.9431431,36309002.0568569
2544,21964,"2545",18,"Solar Art","solar-art","California","CA","Laguna Hills","Los Angeles",148.1481,2680000,"Energy",3,1080000.20955228,1599999.79044772
2545,26272,"2546",22,"Reference Services","reference-services","Indiana","IN","Evansville","Evansville IN-KY",148.0742,2880588,"Human Resources",1,1161180.00178979,1719407.99821021
2546,24635,"2547",67,"JLG Architects","jlg-architects","North Dakota","ND","Grand Forks","Grand Forks ND-MN",148.0427,15384246,"Construction",1,6202257.11137639,9181988.88862361
